participant_id,block,corrected_memorability_score,hits,false_alarms,mean_rt_ir,mean_rt_wr,mean_rt_hits,mean_rt_false_alarms,validation_passed,validation_correct,validation_wrong,validation_missed,n_target_sentences,n_active,n_passive,n_HH,n_HL,n_LH,n_LL
293,2,1,9,8,1773.6216216216217,804.9130434782609,2110.6666666666665,1972.75,True,10,0,0,16,8,8,4,4,4,4
293,3,14,18,4,1828.9,1088.5862068965516,1807.0,3111.5,True,9,0,0,16,8,8,4,4,4,4
294,1,-23,11,34,1462.377049180328,1092.75,1549.7272727272727,1653.4705882352941,True,8,0,1,16,8,8,4,4,4,4
294,2,-22,14,36,1496.3472222222222,768.6046511627907,1665.2142857142858,1642.611111111111,True,11,0,0,16,8,8,4,4,4,4
294,3,13,17,4,1288.6341463414635,470.48275862068965,1415.1764705882354,2516.5,True,10,0,0,16,8,8,4,4,4,4
295,1,9,13,4,1612.5945945945946,1064.96,1756.0,1889.5,True,10,0,0,16,8,8,4,4,4,4
295,2,8,14,6,1497.95,888.0,1693.7142857142858,2266.3333333333335,True,10,0,0,16,8,8,4,4,4,4
295,3,14,14,0,1491.2941176470588,853.125,1639.7142857142858,,True,10,0,0,16,8,8,4,4,4,4
296,1,-7,11,18,1631.1489361702127,1669.7586206896551,1590.3636363636363,1953.5555555555557,True,9,0,0,16,8,8,4,4,4,4
296,2,10,14,4,1498.7777777777778,1604.48,1683.2857142857142,2283.0,True,9,0,1,16,8,8,4,4,4,4
296,3,12,16,4,1461.4,1473.5357142857142,1541.0,2720.5,True,10,0,1,16,8,8,4,4,4,4
297,1,-8,8,16,1561.452380952381,723.84,1673.375,1713.25,True,9,0,0,16,8,8,4,4,4,4
297,2,-22,18,40,1476.525641025641,429.2083333333333,1337.388888888889,1768.65,True,10,0,0,16,8,8,4,4,4,4
297,3,-11,17,28,1707.8,774.560975609756,1638.764705882353,2095.5714285714284,True,10,0,0,16,8,8,4,4,4,4
298,1,4,12,8,2034.9473684210527,1093.0,1931.5,2799.0,True,9,0,0,16,8,8,4,4,4,4
298,2,2,10,8,1553.7631578947369,524.0833333333334,1483.3,2189.0,True,10,0,0,16,8,8,4,4,4,4
298,3,3,7,4,1458.142857142857,592.0,1263.0,2203.5,True,5,0,3,16,8,8,4,4,4,4
299,1,-11,7,18,1594.179487179487,637.1739130434783,1658.142857142857,1854.888888888889,True,7,0,3,16,8,8,4,4,4,4
302,1,-6,12,18,1422.14,509.741935483871,1264.75,1829.7777777777778,True,10,0,0,16,8,8,4,4,4,4
302,2,-3,11,14,1656.3111111111111,683.8571428571429,1590.0,2070.8571428571427,True,10,0,0,16,8,8,4,4,4,4
302,3,0,10,10,1861.6944444444443,659.9565217391304,1882.7,1719.6,True,8,0,2,16,8,8,4,4,4,4
303,1,6,12,6,1938.578947368421,1758.28,1989.0,2536.0,True,10,0,0,16,8,8,4,4,4,4
303,2,7,11,4,2047.3636363636363,1472.8181818181818,2123.5454545454545,2752.0,True,9,0,1,16,8,8,4,4,4,4
303,3,15,17,2,2194.891891891892,1522.0,2557.823529411765,2577.0,True,9,0,1,16,8,8,4,4,4,4
304,1,0,10,10,1968.525,1357.4,2302.5,2252.8,True,10,0,0,16,8,8,4,4,4,4
304,2,-8,10,18,1823.3695652173913,1408.0,1880.1,2279.4444444444443,True,9,0,0,16,8,8,4,4,4,4
304,3,0,14,14,1757.5869565217392,890.9,1804.357142857143,2282.5714285714284,True,9,0,1,16,8,8,4,4,4,4
305,1,-5,13,18,1649.2745098039215,814.28125,1649.4615384615386,2191.8888888888887,True,10,0,0,16,8,8,4,4,4,4
305,2,11,15,4,1527.2820512820513,358.81481481481484,1716.1333333333334,2104.5,True,10,0,0,16,8,8,4,4,4,4
305,3,4,14,10,1818.357142857143,671.3928571428571,1751.2142857142858,2419.0,True,9,0,0,16,8,8,4,4,4,4
307,1,-14,14,28,1092.8064516129032,2141.5526315789475,890.4285714285714,1323.0714285714287,True,10,0,0,16,8,8,4,4,4,4
307,2,12,16,4,962.421052631579,1681.2592592592594,962.0,1508.0,True,9,0,0,16,8,8,4,4,4,4
307,3,5,15,10,957.0444444444445,1386.6333333333334,926.7333333333333,1516.6,True,10,0,0,16,8,8,4,4,4,4
308,1,-18,10,28,1738.9827586206898,1764.0882352941176,1831.5,2039.357142857143,True,10,0,0,16,8,8,4,4,4,4
308,2,-7,15,22,1953.7894736842106,1105.25,1921.4666666666667,2275.909090909091,True,10,0,0,16,8,8,4,4,4,4
308,3,4,16,12,2160.285714285714,1241.3103448275863,1893.625,2960.8333333333335,True,7,0,0,16,8,8,4,4,4,4
309,1,-2,4,6,1958.2142857142858,331.0625,1738.0,1882.6666666666667,True,9,0,1,16,8,8,4,4,4,4
309,2,1,1,0,1862.3076923076924,790.8571428571429,2564.0,,True,6,0,3,16,8,8,4,4,4,4
310,1,1,13,12,1415.2790697674418,931.5714285714286,1552.3846153846155,2001.8333333333333,True,9,0,1,16,8,8,4,4,4,4
310,2,6,14,8,1258.1315789473683,951.8846153846154,1443.5,1852.25,True,8,0,2,16,8,8,4,4,4,4
310,3,8,10,2,1239.6333333333334,1093.0,1706.7,981.0,True,9,0,1,16,8,8,4,4,4,4
311,1,-6,14,20,2046.7407407407406,1717.6470588235295,1883.7142857142858,2707.1,True,10,0,0,16,8,8,4,4,4,4
311,2,9,13,4,2095.457142857143,982.3333333333334,2292.076923076923,3285.0,True,9,0,0,16,8,8,4,4,4,4
311,3,11,17,6,1801.8666666666666,939.3870967741935,1807.2941176470588,2884.6666666666665,True,11,0,0,16,8,8,4,4,4,4
312,1,2,12,10,1445.1904761904761,2413.5925925925926,1562.3333333333333,1922.8,True,10,0,0,16,8,8,4,4,4,4
312,2,6,14,8,1743.8055555555557,764.44,1699.9285714285713,2417.5,True,7,0,1,16,8,8,4,4,4,4
312,3,-5,13,18,1772.2641509433963,944.3636363636364,2140.923076923077,2395.1111111111113,True,11,0,0,16,8,8,4,4,4,4
313,1,-14,12,26,1432.2962962962963,1186.7878787878788,1172.3333333333333,1641.076923076923,True,8,0,0,16,8,8,4,4,4,4
313,2,-23,15,38,1453.948051948052,614.2173913043479,1289.7333333333333,1703.157894736842,True,12,0,0,16,8,8,4,4,4,4
313,3,-14,16,30,1416.2272727272727,441.1951219512195,1304.9375,1703.0666666666666,True,10,0,0,16,8,8,4,4,4,4
314,1,-13,7,20,1542.860465116279,596.32,2037.0,1642.7,True,8,0,0,16,8,8,4,4,4,4
314,2,11,17,6,1456.340425531915,507.75,1517.6470588235295,2203.3333333333335,True,12,0,0,16,8,8,4,4,4,4
314,3,7,13,6,1497.8108108108108,455.76,1482.6923076923076,1890.3333333333333,True,9,0,1,16,8,8,4,4,4,4
316,1,-2,12,14,1639.547619047619,1438.111111111111,1585.5833333333333,2132.0,True,8,0,0,16,8,8,4,4,4,4
316,2,11,17,6,1508.5111111111112,1158.225806451613,1595.4705882352941,2680.6666666666665,True,11,0,0,16,8,8,4,4,4,4
316,3,-1,13,14,1551.3333333333333,1313.7586206896551,1631.5384615384614,2021.2857142857142,True,9,0,0,16,8,8,4,4,4,4
317,1,-16,10,26,1250.0925925925926,1996.15625,1325.1,1382.5384615384614,True,9,0,1,16,8,8,4,4,4,4
317,2,-3,13,16,1371.2340425531916,1182.2,1395.076923076923,1532.5,True,9,0,0,16,8,8,4,4,4,4
317,3,3,15,12,1423.5777777777778,1209.4666666666667,1460.4666666666667,1637.1666666666667,True,9,0,2,16,8,8,4,4,4,4
318,1,-8,10,18,1532.9347826086957,971.3214285714286,1501.3,2029.7777777777778,True,9,0,0,16,8,8,4,4,4,4
318,2,11,17,6,1548.8139534883721,517.0333333333333,1870.5294117647059,1556.3333333333333,True,10,0,0,16,8,8,4,4,4,4
318,3,12,16,4,1697.325,1383.4285714285713,1949.1875,2133.5,True,10,0,0,16,8,8,4,4,4,4
322,1,-6,12,18,1659.7291666666667,911.6333333333333,1617.75,2158.3333333333335,True,9,0,1,16,8,8,4,4,4,4
322,2,-5,13,18,1766.2553191489362,932.4666666666667,1424.4615384615386,2189.1111111111113,True,8,0,0,16,8,8,4,4,4,4
322,3,-4,12,16,1699.7291666666667,830.3,1554.0833333333333,2307.875,True,10,0,2,16,8,8,4,4,4,4
323,1,0,14,14,1708.625,579.1290322580645,1983.2857142857142,1806.5714285714287,True,10,0,0,16,8,8,4,4,4,4
323,2,11,11,0,1305.6896551724137,588.1,1626.2727272727273,,True,9,0,0,16,8,8,4,4,4,4
323,3,19,19,0,1494.2307692307693,382.3103448275862,1802.7894736842106,,True,10,0,0,16,8,8,4,4,4,4
325,1,-4,12,16,2053.4375,797.0333333333333,2040.0833333333333,2501.125,True,10,0,0,16,8,8,4,4,4,4
325,2,1,9,8,1862.2727272727273,529.7619047619048,2164.1111111111113,2162.0,True,8,0,1,16,8,8,4,4,4,4
325,3,6,8,2,2089.0666666666666,408.36842105263156,2013.0,3947.0,True,10,0,1,16,8,8,4,4,4,4
326,1,1,13,12,1330.4146341463415,514.7777777777778,1361.7692307692307,1379.6666666666667,True,8,0,0,16,8,8,4,4,4,4
326,2,-1,11,12,1188.6097560975609,342.1923076923077,1168.4545454545455,1256.0,True,9,0,1,16,8,8,4,4,4,4
326,3,1,9,8,1238.8048780487804,285.8,1496.5555555555557,1878.5,True,12,0,0,16,8,8,4,4,4,4
327,1,-7,13,20,2066.5283018867926,1282.939393939394,2067.5384615384614,2601.8,True,10,0,0,16,8,8,4,4,4,4
327,2,10,14,4,2063.5,803.5,2103.0714285714284,2881.0,True,10,0,0,16,8,8,4,4,4,4
327,3,15,15,0,1442.9714285714285,572.84,1884.8,,True,10,0,0,16,8,8,4,4,4,4
328,1,2,12,10,1083.8333333333333,1251.7083333333333,1260.0,1080.6,True,7,0,0,16,8,8,4,4,4,4
328,2,-5,15,20,1297.4098360655737,626.8421052631579,1307.0666666666666,1584.0,True,13,0,0,16,8,8,4,4,4,4
328,3,11,13,2,1263.5757575757575,446.7391304347826,1368.1538461538462,1928.0,True,9,0,1,16,8,8,4,4,4,4
